Modelo,SMAPE,RMSE,MAE,Dataset
updrs_1,50.11983868900604,5.530267385882985,30.58385735936103,24 Meses
updrs_2,49.31704369501052,5.290010783451695,27.984214089035216,24 Meses
updrs_3,41.80394419694361,12.603930897642691,158.8590740725521,24 Meses
updrs_4,143.91213910374063,3.511531897755896,12.330856268957126,24 Meses
Media,71.2882414211752,6.7339352411833175,57.43950044747636,24 Meses
updrs_1,57.73066115454418,6.02923505456229,36.35167534316274,36 Meses
updrs_2,51.39575281222686,5.619321705198618,31.5767764265163,36 Meses
updrs_3,42.92948285895039,13.072662409892542,170.8945024830175,36 Meses
updrs_4,146.40336831292885,3.5889038767278736,12.88023103639236,36 Meses
Media,74.61481628466257,7.077530761595331,62.92579632227223,36 Meses
