Modelo,SMAPE,RMSE,MAE,Dataset
updrs_1,49.661074887873916,5.450985865690508,29.713246907957696,24 Meses
updrs_2,48.93925387790464,5.246953910083768,27.530525334543338,24 Meses
updrs_3,41.66940367555728,12.54618436088764,157.4067420173816,24 Meses
updrs_4,143.4496545874204,3.46513042726006,12.007128877923485,24 Meses
Media,70.92984675718907,6.677313640980494,56.66441078445153,24 Meses
updrs_1,57.74183851955716,6.03229353167816,36.38856525232617,36 Meses
updrs_2,51.476469197726985,5.644220750540149,31.857227880828,36 Meses
updrs_3,43.110616429369706,13.13050694140507,172.41021253828671,36 Meses
updrs_4,145.80533798657592,3.621081637422083,13.112232224875394,36 Meses
Media,74.53356553330744,7.107025715261366,63.442059474079066,36 Meses
