Modelo,SMAPE,RMSE,MAE,Dataset
updrs_1,46.60050605675913,5.052102138910392,25.52373602198296,24 Meses
updrs_2,44.982563908722014,4.855534132835936,23.576211715134818,24 Meses
updrs_3,38.612855311782155,11.657906988054744,135.90679534213564,24 Meses
updrs_4,142.0869371762298,3.2690367589398983,10.686601331300274,24 Meses
Media,68.07071561337328,6.208645004685242,48.923336102638416,24 Meses
updrs_1,45.71918354992495,6.614699326285348,43.75424717715983,84 Meses
updrs_2,47.82468477417927,7.803223420995734,60.89029575797637,84 Meses
updrs_3,50.259187912993966,18.862713314738944,355.80195359402984,84 Meses
updrs_4,92.0460113524465,3.05766103346818,9.3492909955897,84 Meses
Media,58.96226689738617,9.084574273872052,117.44894688118893,84 Meses
