Modelo,SMAPE,RMSE,MAE,Dataset
updrs_1,50.05000237686842,5.517838425113731,30.446540885661577,24 Meses
updrs_2,49.16577153706161,5.274010281945194,27.815184454063623,24 Meses
updrs_3,41.72257600666847,12.575037694641157,158.131573021646,24 Meses
updrs_4,143.6259832684069,3.488769960297597,12.171515835874898,24 Meses
Media,71.14108329725136,6.7139140904994195,57.14120354931153,24 Meses
updrs_1,57.759611737266816,6.029812137099931,36.358634408717634,36 Meses
updrs_2,51.39340405293109,5.621207043070539,31.597968621065835,36 Meses
updrs_3,42.949884198215976,13.075842815345132,170.9776653316129,36 Meses
updrs_4,146.04282048644734,3.5950277435993585,12.924224477249096,36 Meses
Media,74.5364301187153,7.08047243477874,62.96462320966137,36 Meses
