Modelo,SMAPE,RMSE,MAE,Dataset
updrs_1,47.35827197882645,5.138305035948039,26.402178642448984,24 Meses
updrs_2,46.610931392283725,4.9863285091087945,24.863472000751134,24 Meses
updrs_3,38.91317689049638,11.717385814077646,137.29713031594807,24 Meses
updrs_4,143.1362634466616,3.351312048479335,11.231292446282756,24 Meses
Media,69.00466092706704,6.298332851903454,49.948518351357734,24 Meses
updrs_1,58.33559135983485,6.125502166256154,37.52177678880883,36 Meses
updrs_2,52.10369619935441,5.77144743249822,33.30960546609029,36 Meses
updrs_3,43.99223299112973,13.426540731395335,180.27199601181795,36 Meses
updrs_4,147.03972538352005,3.629968068442089,13.17666817790919,36 Meses
Media,75.36781148345976,7.23836459964795,66.07001161115656,36 Meses
